#,Mod名,文件名,端,可选,下载源,下载链接,GitHub,说明
1,1u6JkXh5,1u6JkXh5-gjsLvJfW.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/1u6JkXh5/gjsLvJfW/1u6JkXh5-gjsLvJfW.jar,,Mod dependency of 1u6JkXh5 / Included inside official TeaCon mod list
2,AAA Particles,aaa_particles-neoforge-26.1.2-2.2.4-alpha.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/aaa_particles-neoforge-26.1.2-2.2.4-alpha.1.e57547f3.jar,,Mod dependency of AAA Particles / Managed by Biluochun
3,AAA Particles: World,aaa_particles_world-neoforge-26.1.2-2.0.1-alpha.4.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-aaa-particles-world/aaa-particles-world-14.jar,,AAA Particles: World by 克洛伊的小队 / Build #14 / 向游戏内添加了一些基于 Effekseer 粒子中间件的特效，类似一个高清版的 Subtle Effects。
4,ae2,appliedenergistics2-26.1.10-beta.346110f2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/appliedenergistics2-26.1.10-beta.346110f2.346110f2.jar,https://github.com/AppliedEnergistics/Applied-Energistics-2,Mod dependency of ae2 / Managed by Biluochun
5,AnvilLib,anvillib-neoforge-26.1-2.0.0+snapshot.494.jar,both,,archive.teacon.cn,https://archive.teacon.cn/jiachen/ci/extra/anvillib-neoforge-26.1-2.0.0%2Bsnapshot.494.731d2a29.jar,,Mod dependency of AnvilLib / Managed by Biluochun
6,Arcanism,programmable_magic-0.1.3.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-programmable-magic/programmable-magic-40.jar,,Arcanism by Arcanism / 魔导主义 开发组 / Build #40 / Arcanism 是一个融合了科技要素和编程要素的魔法mod. 这个mod以魔力的生产与消耗作为核心玩法构建
7,AreaControl NeoForge 26.1,AreaControl-NeoForge-26.1-0.9.17.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/AreaControl-NeoForge-26.1/0.9.17/AreaControl-NeoForge-26.1-0.9.17.jar,,Mod dependency of AreaControl NeoForge 26.1 / Included inside official TeaCon mod list
8,auth me,auth-me-sgiODmNN.jar,client,,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/auth-me/sgiODmNN/auth-me-sgiODmNN.jar,,Mod dependency of auth me / Included inside official TeaCon mod list
9,Baihao NeoForge 26.1,Baihao-NeoForge-26.1-1.0.8.jar,both,,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/Baihao-NeoForge-26.1/1.0.8/Baihao-NeoForge-26.1-1.0.8.jar,,Mod dependency of Baihao NeoForge 26.1 / Included inside official TeaCon mod list
10,Bakeries,bakeries-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-bakeries/bakeries-43.jar,https://github.com/Renyigesai/bakery,Bakeries by Renyigesai / Build #43 / 添加了和烘焙相关的内容。
