GitHub,项目名,出现整合包,Modrinth下载量,有深度报告,有速览卡片
https://github.com/CaffeineMC/sodium,Sodium,ATM10/星轨重铸/璇穹之歌,224094052,Y,Y
https://github.com/IrisShaders/Iris,Iris Shaders,ATM10/星轨重铸/璇穹之歌,174203494,Y,Y
https://github.com/shedaniel/ClothConfig,Cloth Config API (Fabric/Forge/NeoForge),ATM10/FIDR暗涌/星轨重铸/璇穹之歌,166142525,Y,Y
https://github.com/tr7zw/EntityCulling,Entity Culling,星轨重铸,164860754,Y,Y
https://github.com/malte0811/FerriteCore,FerriteCore,FIDR暗涌/星轨重铸/璇穹之歌,149414054,Y,Y
https://github.com/caffeinemc/lithium-fabric,Lithium,星轨重铸/璇穹之歌,126459236,Y,Y
https://github.com/isXander/YetAnotherConfigLib,YetAnotherConfigLib (YACL),星轨重铸/璇穹之歌,121100142,Y,Y
https://github.com/Traben-0/Entity_Texture_Features,[ETF] Entity Texture Features,星轨重铸,99674523,Y,Y
https://github.com/architectury/architectury,Architectury API,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,98546473,Y,Y
https://github.com/FlashyReese/sodium-extra-fabric,Sodium Extra,ATM10/星轨重铸,95121473,Y,Y
https://github.com/Traben-0/Entity_Model_Features,[EMF] Entity Model Features,星轨重铸,94564380,Y,Y
https://github.com/squeek502/AppleSkin,AppleSkin,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,88365218,Y,Y
https://github.com/tr7zw/NotEnoughAnimations,Not Enough Animations,ATM10/星轨重铸,85302116,Y,Y
https://github.com/embeddedt/ModernFix,ModernFix,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,76865964,Y,Y
https://github.com/mezz/JustEnoughItems,Smithing Template Viewer for JEI/EMI,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,75972741,Y,Y
https://github.com/tr7zw/3d-skin-layers,3D Skin Layers,星轨重铸/璇穹之歌,75466340,Y,Y
https://github.com/PepperCode1/Continuity,Continuity,星轨重铸,72229371,Y,Y
https://github.com/bernie-g/geckolib,geckolib-forge-1.20.1-4.8.4.jar,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,68663922,Y,Y
https://github.com/henkelmax/simple-voice-chat,Simple Voice Chat,星轨重铸,67944877,Y,Y
https://github.com/Snownee/Jade,Jade 🔍,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,66976488,Y,Y
https://github.com/juliand665/Dynamic-FPS,Dynamic FPS,星轨重铸,64729616,Y,Y
https://github.com/Keksuccino/FancyMenu,FancyMenu,ATM10/星轨重铸/璇穹之歌,64517875,Y,Y
https://github.com/Serilum/Collective,Collective,FIDR暗涌/星轨重铸,63827596,Y,Y
https://github.com/Fuzss/puzzleslib,Puzzles Lib,星轨重铸/璇穹之歌,60635651,Y,Y
https://github.com/Keksuccino/Konkrete,Konkrete,ATM10/FIDR暗涌/星轨重铸/璇穹之歌,60266958,Y,Y
https://github.com/TwelveIterations/Balm,Balm,ATM10/星轨重铸/璇穹之歌,58295792,Y,Y
https://github.com/YaLTeR/MouseTweaks,Mouse Tweaks,ATM10/星轨重铸/璇穹之歌,57500048,Y,Y
