Mod,GitHub,来源,本地反编译,代码行数,jar
Accelerated Decay,https://github.com/ErrorMikey/AcceleratedDecay,搜索,,,
Actually Additions,https://github.com/Ellpeck/ActuallyAdditions,搜索,,,
Ad Astra,https://github.com/terrarium-earth/Ad-Astra,搜索,,,
Ad Astra: Giselle Addon,https://github.com/gisellevonbingen-Minecraft/Ad-Astra-Giselle-Addon,搜索,,,
Additional Enchanted Miner,https://github.com/Kotori316/QuarryPlus,搜索,,,
Additional Lights,https://github.com/cyberdragon442/AdditionalLights,搜索,,,
Advanced Peripherals,https://github.com/Seniorendi/AdvancedPeripherals,搜索,,,
AdvancedAE,https://github.com/pedroksl/AdvancedAE,搜索,,,
AE2 Import Export Card,https://github.com/starforcraft/AE2-Insert-Export-Card,搜索,,,
AE2 JEI Integration,https://github.com/mezz/JustEnoughItems,已知,,,
AE2 Network Analyser,https://github.com/GlodBlock/ExtendedAE,本地 jar 元数据,Y,3147,AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar
AE2: Crafting Tree,https://github.com/vcwdfca/AE2CraftingTree,搜索,,,
AEInfinityBooster,https://github.com/hexeption/aeinfinitybooster,搜索,,,
AI Improvements: Performance Tuning,https://github.com/BuiltBrokenModding/AI-Improvements,搜索,,,
Akashic Tome,https://github.com/VazkiiMods/AkashicTome,搜索,,,
All The Arcanist Gear,https://github.com/Jarva/All-The-Arcanist-Gear,本地 jar 元数据,Y,2118,allthearcanistgear-1.21.1-21.3.2.jar
All The Tweaks,,,Y,7005,allthetweaks-1.21.1-2.9.4.jar
All the Wizard Gear,,,Y,929,allthewizardgear-1.21.1-1.2.0.jar
AllTheCompressed,,,Y,1508,allthecompressed-1.21.1-4.4.0.jar
AllTheLeaks (Memory Leak Fix),,,Y,11321,内存泄漏alltheleaks-1.1.12+1.21.1-neoforge.jar
Allthemodium,https://github.com/ton185/MinableAtmOres,搜索,,,
Almost Unified,https://github.com/AlmostReliable/almostunified,搜索,,,
Amendments,https://github.com/MehVahdJukaar/amendments,本地 jar 元数据,Y,18606,amendments-1.21-2.1.9-neoforge.jar
Apotheosis,https://github.com/Shadows-of-Fire/Apotheosis,已知,,,
Apothic Attributes,https://github.com/Shadows-of-Fire/Apothic-Attributes,搜索,,,
Apothic Enchanting,https://github.com/Shadows-of-Fire/Apothic-Enchanting,已知,,,
Apothic Spawners,https://github.com/Shadows-of-Fire/Apothic-Spawners,已知,,,
AppleSkin,https://github.com/squeek502/AppleSkin,已知,,,
Applied Energistics 2,https://github.com/AppliedEnergistics/Applied-Energistics-2,已知,,,
Applied Energistics 2 Wireless Terminals,https://github.com/Mari023/AE2WirelessTerminalLibrary,已知,,,
Applied Flux,https://github.com/GlodBlock/ExtendedAE,搜索,,,
Applied Mekanistics,https://github.com/AppliedEnergistics/Applied-Mekanistics,已知,,,
Aquaculture 2,https://github.com/TeamMetallurgy/Aquaculture,已知,,,
Architectury API,https://github.com/architectury/architectury,已知,,,
Ars Additions,https://github.com/Jarva/Ars-Additions,搜索,,,
Ars Controle,https://github.com/Vonr/Ars-Controle,搜索,,,
Ars Creo,https://github.com/baileyholl/Ars-Creo,搜索,,,
Ars Elemancy,https://github.com/Lyrellion/Ars-Elemancy,搜索,,,
Ars Elemental,https://github.com/Alexthw46/Ars-Elemental,本地 jar 元数据,Y,24273,ars_elemental-1.21.1-0.7.10.1.jar
Ars Nouveau,https://github.com/baileyholl/Ars-Nouveau,已知,,,
Ars Ocultas,https://github.com/dphaldes/Ars-Ocultas,搜索,,,
Ars Polymorphia,https://github.com/Vonr/Ars-Polymorphia,搜索,,,
Ars Technica,,,Y,13039,ars_technica-1.21.1-2.7.6.jar
Ars Unification,https://github.com/Vonr/Ars-Unification,搜索,,,
Ars Énergistique,https://github.com/62832/ArsEnergistique,搜索,,,
Artifacts,https://github.com/ochotonida/artifacts,已知,,,
Athena,https://github.com/terrarium-earth/Athena,搜索,,,
Atlas API,https://github.com/Redspace-io/atlas-api,搜索,,,
ATO - All the Ores,,,,,
AttributeFix,https://github.com/Darkhax-Minecraft/AttributeFix,已知,,,
Auroral,https://github.com/breakinblocks/auroral,搜索,,,
Auroras,,,Y,3761,Auroras-1.21-1.6.2.jar
Bad Wither No Cookie - Reloaded,,,Y,274,bwncr-neoforge-1.21.1-3.20.4.jar
Balm,https://github.com/TwelveIterations/Balm,已知,,,
Baubley Heart Canisters,https://github.com/Traverse-Joe/Baubley-Heart-Canisters,已知,,,
Better Advanced Tooltips,https://github.com/latvian-dev/better-advanced-tooltips,搜索,,,
Better Advancements,https://github.com/way2muchnoise/BetterAdvancements,已知,,,
Better Compatibility Checker,https://github.com/nanite/BetterCompatibilityChecker,搜索,,,
Bibliobiomes Legacy,https://github.com/MinecraftschurliMods/Bibliobiomes-Legacy,搜索,,,
Bibliocraft Legacy,https://github.com/MinecraftschurliMods/Bibliocraft-Legacy,搜索,,,
Bibliowoods Legacy,https://github.com/MinecraftschurliMods/Bibliocraft-Legacy,搜索,,,
BlockUI,https://github.com/ldtteam/BlockUI,本地 jar 元数据,Y,11800,blockui-1.0.211-1.21.1-snapshot.jar
Blue Flame Burning,https://github.com/JDKDigital/blueflame,搜索,,,
Bookshelf,https://github.com/Darkhax-Minecraft/Bookshelf,已知,,,
Borderless Window,https://github.com/cutebow/Borderless-Windowed-Vulkan,搜索,,,
Botany Pots,https://github.com/Darkhax-Minecraft/BotanyPots,已知,,,
Botany Pots - Mystical Agriculture Compat,https://github.com/BlakeBr0/MysticalAgriculture,已知,,,
Botany Trees,https://github.com/Darkhax-Minecraft/BotanyTrees,搜索,,,
Brandon's Core,https://github.com/Draconic-Inc/BrandonsCore,搜索,,,
Bridging Mod,https://github.com/squeeglii/BridgingMod,搜索,,,
BSL Shaders,,,,,
Building Gadgets,https://github.com/MellowArpeggiation/Effortless-Building-Gadgets,搜索,,,
Byzantine Styles Pack for Minecolonies,,,Y,0,Byzantine-1.21.1-51.jar
Cable Tiers,https://github.com/Ultramega/CableTiers,已知,,,
Caelus API,https://github.com/TheIllusiveC4/Caelus,已知,,,
Camol,,,Y,1072,camol-1.21.1-0.3.1.jar
Cat Jammies,,,Y,154,catjammies-1.21-1.7.1.jar
CC: Tweaked,https://github.com/cc-tweaked/CC-Tweaked,搜索,,,
Charging Gadgets,https://github.com/Direwolf20-MC/ChargingGadgets,本地 jar 元数据,Y,1032,charginggadgets-1.14.1.jar
Chipped,https://github.com/terrarium-earth/Chipped,搜索,,,
Chisel Reborn [Forge/Fabric/NeoForge],https://github.com/matthewperiut/Chisel-Fabric,搜索,,,
ChoiceTheorem's Overhauled Village,https://github.com/ChoiceTheorem/ChoiceTheorem-s-overhauled-village,已知,,,
Chroma Carvings,,,Y,964,chromacarvings-1.21.1-0.2.0.jar
Clean Swing Through Grass,,,Y,55,cleanswing-1.9.jar
Cloth Config API (Fabric/Forge/NeoForge),https://github.com/shedaniel/ClothConfig,已知,,,
Cloud Glass,https://github.com/Mrbysco/CloudGlass,搜索,,,
Clumps,https://github.com/jaredlll08/Clumps,搜索,,,
Cobblegen Galore,,,Y,855,cobblegengalore-1.21.1-0.2.9.jar
Cobweb,https://github.com/Crystal-Nest/cobweb,搜索,,,
CodeChicken Lib 1.8.+,https://github.com/TheCBProject/CodeChickenLib,本地 jar 元数据,Y,36036,CodeChickenLib-1.21.1-4.6.1.529.jar
Colorful Hearts,https://github.com/Terrails/colorful-hearts,已知,,,
Colorwheel,https://github.com/djefrey/Colorwheel,已知,,,
Colorwheel Patcher,https://github.com/djefrey/Colorwheel-Patcher,已知,,,
Comforts,https://github.com/illusivesoulworks/comforts,搜索,,,
Common Capabilities,https://github.com/CyclopsMC/CommonCapabilities,已知,,,
Common Storage Lib,https://github.com/terrarium-earth/Common-Storage-Lib,搜索,,,
Compact Machines,https://github.com/AlphaMode/CompactMachines,搜索,,,
Complementary Shaders - Reimagined,https://github.com/ComplementaryDevelopment/ComplementaryReimagined,搜索,,,
Complementary Shaders - Unbound,https://github.com/ComplementaryDevelopment/ComplementaryReimagined,搜索,,,
Connected Glass,https://github.com/SuperMartijn642/ConnectedGlass,搜索,,,
ConnectedTexturesMod,https://github.com/ralf2oo2/ConnectedTexturesMod-Beta,搜索,,,
Connectivity,https://github.com/sschr15/quasi-crafter-connectivity,搜索,,,
Construction Sticks,https://github.com/Mrbysco/ConstructionSticks,搜索,,,
Controlling,https://github.com/jaredlll08/Controlling,已知,,,
Cooking for Blockheads,https://github.com/TwelveIterations/CookingForBlockheads,已知,,,
