mod文件,项目名,GitHub,来源,本地反编译,代码行数
ApothicAttributes-1.21.1-2.10.1.jar,ApothicAttributes-1.21.1-2.10.1.jar,https://github.com/Shadows-of-Fire/Apothic-Attributes,manual,,
BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar,Better Advancements,https://github.com/way2muchnoise/BetterAdvancements,modrinth-api,,
CombatNouveau-v21.1.2-1.21.1-NeoForge.jar,Combat Nouveau,https://github.com/Fuzss/combatnouveau,modrinth-api,,
ConfiguredDefaults-v21.1.3-1.21.1-NeoForge.jar,Configured Defaults,https://github.com/Fuzss/configureddefaults,modrinth-api,,
Controlling-neoforge-1.21.1-19.0.5.jar,Controlling,https://github.com/jaredlll08/Controlling,modrinth-api,,
CreateDragonsPlus-1.11.7b.jar,Create: Dragons Plus,https://github.com/DragonsPlusMinecraft/CreateDragonsPlus,modrinth-api,,
CreateFastSchematicCannon-1.4.1-neoforge-1.21.1.jar,Create: FastSchematicCannon,https://github.com/duckgun13476/Create-FastCannon,modrinth-api,,
DnT-ancient-city-overhaul-v2 [NeoForge].jar,Dungeons and Taverns Ancient City Overhaul,,,Y,0
FarmersDelight-1.21.1-1.3.4.jar,Farmer's Delight,https://github.com/vectorwing/FarmersDelight,modrinth-api,,
GUI动画guitween-3.4.0-1.21.1+neoforge.jar,GUI Tween,https://github.com/remarxk/GUI-Tween,modrinth-api,,
HopoBetterRuinedPortals-[1.21.1-1.21.3]-1.4.4b.jar,Hopo Better Ruined Portals,,,Y,0
ImmediatelyFast-NeoForge-1.6.13+1.21.1.jar,ImmediatelyFast,https://github.com/RaphiMC/ImmediatelyFast,modrinth-api,,
Jade-1.21.1-NeoForge-15.10.6.jar,Jade 🔍,https://github.com/Snownee/Jade,modrinth-api,,
JadeAddons-1.21.1-NeoForge-6.1.0.jar,Jade Addons (Neo/Forge),https://github.com/Snownee/JadeAddons,modrinth-api,,
JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar,JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar,https://github.com/Mrbysco/JustEnoughProfessions,manual,,
L_Ender's Cataclysm 1.21.1-3.32.jar,L_Ender's Cataclysm,https://github.com/lender544/new1.20.1,modrinth-api,,
MaidUseHandCrank_1.6.2-neoforge_21.1.219-1.21.1.jar,MaidUseHandCrank,https://github.com/sch246/MaidUseHandCrank,modrinth-api,,
MoogsEndStructures-1.21-2.0.3.jar,MES - Moog's End Structures,https://github.com/FinnSetchell/MoogsEndStructures,modrinth-api,,
MouseTweaks-neoforge-mc1.21-2.26.1.jar,Mouse Tweaks,https://github.com/YaLTeR/MouseTweaks,modrinth-api,,
MyNethersDelight-1.21.1-1.10.4.jar,My Nether's Delight,https://github.com/SoyTutta/MyNethersDelight,modrinth-api,,
Patchouli-1.21.1-93-NEOFORGE.jar,Patchouli,https://github.com/VazkiiMods/Patchouli,modrinth-api,,
Placebo-1.21.1-9.9.2.jar,Placebo,https://github.com/Shadows-of-Fire/Placebo,modrinth-api,,
PuzzlesLib-v21.1.52-1.21.1-NeoForge.jar,Puzzles Lib,https://github.com/Fuzss/puzzleslib,modrinth-api,,
Retraining-neoforge-1.21-2.0.0.jar,Retraining-neoforge-1.21-2.0.0.jar,https://github.com/Mrbysco/Retraining,manual,,
Searchables-neoforge-1.21.1-1.0.2.jar,Searchables,https://github.com/Jaredlll08/Searchables,manual,,
TinySkeletons-v21.1.0-1.21.1-NeoForge.jar,Tiny Skeletons,https://github.com/Fuzss/tinyskeletons,modrinth-api,,
UsefulSlime-neoforge-1.21-1.12.1.jar,Useful Slime,https://github.com/MincraftEinstein/UsefulSlime,modrinth-api,,
[3D 皮肤层] skinlayers3d-neoforge-1.11.2-mc1.21.1.jar,3D Skin Layers,https://github.com/tr7zw/3d-skin-layers,modrinth-api,,
[FTB 任务] ftb-quests-neoforge-2101.1.34.jar,[FTB 任务] ftb-quests-neoforge-2101.1.34.jar,https://github.com/FTBTeam/FTB-Quests,manual,,
[Macaw 的活板门] mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar,Macaw's Trapdoors,https://github.com/sketchmacaw/Trapdoors,modrinth-api,,
[Macaw 的窗户] mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar,Macaw's Windows,,,Y,2961
[Macaw 的门] mcw-doors-1.1.5-mc1.21.1neoforge.jar,Macaw's Doors,https://github.com/sketchmacaw/MacawsDoors,modrinth-api,,
[Macaw的栅栏与墙] mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar,Macaw's Fences and Walls,https://github.com/sketchmacaw/Fences,modrinth-api,,
[Macaw的桥梁] mcw-bridges-3.1.2-mc1.21.1neoforge.jar,Macaw's Bridges,https://github.com/sketchmacaw/Bridges,modrinth-api,,
[Macaw的楼梯与露台] mcw-mcwstairs-1.0.2-mc1.21.1neoforge.jar,Macaw's Stairs,https://github.com/sketchmacaw/Macaws-Stairs,modrinth-api,,
[MrCrayfish 的家具：重制] refurbished_furniture-neoforge-1.21.1-1.0.22.jar,[MrCrayfish 的家具：重制] refurbished_furniture-neoforge-1.21.1-1.0.22.jar,https://github.com/MrCrayfish/MrCrayfishFurnitureMod-Refurbished,manual,,
[Wan的远古异兽] wan_ancient_beasts-neoforge_1.21.1_1.4.3.jar,[Wan的远古异兽] wan_ancient_beasts-neoforge_1.21.1_1.4.3.jar,,,Y,0
[下单了] ordertocook-1.3.6-neoforge1.21.1.jar,Order to cook下单了！,https://github.com/breezeth-CN/OrdertoCook,modrinth-api,,
[传奇怪物] legendary_monsters-2.2.2 MC 1.21.1.jar,Legendary Monsters,https://github.com/Miauczel/Legendary-Monsters-1.21.1-NeoForge,modrinth-api,,
[传说生存] legendarysurvivaloverhaul-1.21.1-2.4.7.2.jar,Legendary Survival Overhaul,https://github.com/Alex-Hashtag/LegendarySurvivalOverhaul,modrinth-api,,
[修复GPU内存泄漏] gpumemleakfix-1.21-1.8.jar,[修复GPU内存泄漏] gpumemleakfix-1.21-1.8.jar,https://github.com/someaddons/gpumemleakfix,manual,,
[僵尸意识] zombieawareness-neoforge-1.21.0-1.13.2.jar,Zombie Awareness,https://github.com/Corosauce/ZombieAwareness,modrinth-api,,
[全局数据包] globalpacks-neoforge-1.21.1-21.0.6.jar,Global Packs,,modrinth-api,Y,728
[冰火传说社区版] iceandfire-2.1.jar,[冰火传说社区版] iceandfire-2.1.jar,https://github.com/IAFEnvoy/IceAndFire-CE,manual,,
[别创建新世界！] 0world2create-neoforge-1.21.1-1.0.0.jar,[别创建新世界！] 0world2create-neoforge-1.21.1-1.0.0.jar,,,Y,20
[北极星市场方块] polaristrading-1.21.1neoforge-1.0beta.jar,[北极星市场方块] polaristrading-1.21.1neoforge-1.0beta.jar,,,Y,1763
[可视化工作台] VisualWorkbench-v21.1.1-1.21.1-NeoForge.jar,Visual Workbench,https://github.com/Fuzss/visualworkbench,modrinth-api,,
[地牢浮现之时] DungeonsArise-1.21.1-2.1.68-release.jar,When Dungeons Arise,,,Y,423
[地牢浮现之时] DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar,When Dungeons Arise: Seven Seas,,,Y,16
[多元乐事] culturaldelights-0.17.8.jar,Cultural Delights,https://github.com/Baisylia/Cultural-Delights-1.19.2,modrinth-api,,
[天空村庄] SkyVillages-1.0.6-1.21.x-neoforge-release.jar,Sky Villages,,,Y,41
[局部气候&风暴] weather2-neoforge-1.21.0-2.8.7.jar,Weather Storms & Tornadoes,https://github.com/Corosauce/Weather2,manual,,
[工业平台] Industrial Platform-1.21.1-1.8.0.jar,[工业平台] Industrial Platform-1.21.1-1.8.0.jar,,,Y,1620
[幻化] transmog-neoforge-1.6.0+1.21.1.jar,Transmog,https://github.com/Hidoni/Transmog,modrinth-api,,
[怪奇宝典] eccentrictome-1.21.1-1.2.0.jar,[怪奇宝典] eccentrictome-1.21.1-1.2.0.jar,https://github.com/EccentricVamp/EccentricTome,jar-meta,,
[找到我] findme-1.21.1-neoforge-1.3.0-test.7.jar,[找到我] findme-1.21.1-neoforge-1.3.0-test.7.jar,https://github.com/Buuz135/FindMe,manual,,
[拾取提示] PickUpNotifier-v21.1.1-1.21.1-NeoForge.jar,Pick Up Notifier,https://github.com/Fuzss/pickupnotifier,modrinth-api,,
[探险者指南针 修改] explorerscompass-edited-1.21.1-3.0.4-neoforge.jar,[探险者指南针 修改] explorerscompass-edited-1.21.1-3.0.4-neoforge.jar,https://github.com/MattCzyr/ExplorersCompass,manual,,
[料理乐事] cuisinedelight-1.2.10.jar,Cuisine Delight,https://github.com/Minecraft-LightLand/Cuisine-Delight,modrinth-api,,
[晴雪UI] ApricityUI-neoforge-1.21.1-1.2.4.jar,ApricityUI,https://github.com/Tower-of-Sighs/AUI,modrinth-api,,
[暮色创世] tfremastered-1.0.0.jar,[暮色创世] tfremastered-1.0.0.jar,,,Y,186
[暮色森林] twilightforest-1.21.1-4.8.3345-universal.jar,[暮色森林] twilightforest-1.21.1-4.8.3345-universal.jar,https://github.com/TeamTwilight/twilightforest,manual,,
[暮色风味乐事] twilightdelight-3.2.2.jar,[暮色风味乐事] twilightdelight-3.2.2.jar,,,Y,4002
[更真实的钓鱼] fishingreal-neoforge-1.21.1-1.9.1.jar,Fishing Real,https://github.com/ExpensiveKoala/Fishing-Real,modrinth-api,,
[末地创世增强] end_remastered_promax-1.0.5.jar,End Remastered ProMax,https://github.com/xianziyu001-stack/End-Remastered-ProMax,modrinth-api,,
[末地：创世] endrem-neoforge-1.21.X-6.0.2.jar,End Remastered,https://github.com/Jack-Bagel/End-Remastered,modrinth-api,,
[机械动力火炮：先进技术] cbc_at_Neoforge_1.21.1_0.1.4c.jar,Create Big Cannons: Advanced Technologies,,,,
[机械动力火炮：增强型弹药] CBCmoreshells-1.2.3.jar,[机械动力火炮：增强型弹药] CBCmoreshells-1.2.3.jar,,,Y,8247
[机械动力火炮：紧凑式炮座] cbc_compact_mount-1.2.2.jar,CBC: Compact Mount,https://github.com/CubesterYT/CBC-CompactMount,modrinth-api,,
[机械动力航空学：工具枪] create_aeronautics_toolgun-0.3.6.jar,Create Aeronautics: Toolgun,https://github.com/userenxv/create-aeronautics-toolgun,modrinth-api,,
[机械动力：内饰] interiors-1.21.1-neoforge-0.6.1.jar,Create: Interiors,https://github.com/sudolev/CreateInteriorsMod,modrinth-api,,
