#,Mod名,文件名,端,下载源,下载链接
1,1u6JkXh5,1u6JkXh5-gjsLvJfW.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/1u6JkXh5/gjsLvJfW/1u6JkXh5-gjsLvJfW.jar
2,AAA Particles,aaa_particles-neoforge-26.1.2-2.2.4-alpha.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/aaa_particles-neoforge-26.1.2-2.2.4-alpha.1.e57547f3.jar
3,AAA Particles: World,aaa_particles_world-neoforge-26.1.2-2.0.1-alpha.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-aaa-particles-world/aaa-particles-world-14.jar
4,ae2,appliedenergistics2-26.1.10-beta.346110f2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/appliedenergistics2-26.1.10-beta.346110f2.346110f2.jar
5,Arcanism,programmable_magic-0.1.3.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-programmable-magic/programmable-magic-40.jar
6,AreaControl NeoForge 26.1,AreaControl-NeoForge-26.1-0.9.17.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/AreaControl-NeoForge-26.1/0.9.17/AreaControl-NeoForge-26.1-0.9.17.jar
7,auth me,auth-me-sgiODmNN.jar,client,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/auth-me/sgiODmNN/auth-me-sgiODmNN.jar
8,Baihao NeoForge 26.1,Baihao-NeoForge-26.1-1.0.8.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/Baihao-NeoForge-26.1/1.0.8/Baihao-NeoForge-26.1-1.0.8.jar
9,Bakeries,bakeries-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-bakeries/bakeries-43.jar
10,BoxDeco,boxdeco-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-boxdeco/boxdeco-9.jar
11,Cauldron++,cauldronpp-1.0.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cauldronpp/cauldronpp-8.jar
12,Caupona,Caupona-26.1.2-6.1.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/jiachen/ci/extra/Caupona-26.1.2-6.1.4.5ea00e84.jar
13,chatbox,chatbox-26.1.2-1.1.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-chatbox/chatbox-10.jar
14,ChromeBall NeoForge 26.1.2,ChromeBall-NeoForge-26.1.2-0.8.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/ChromeBall-NeoForge-26.1.2/0.8.1/ChromeBall-NeoForge-26.1.2-0.8.1.jar
15,Cloth Config,cloth-config-26.1.154.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/cloth-config-26.1.154.d9147c85.jar
16,CommandConfirm NeoForge 26,CommandConfirm-NeoForge-26-1.2.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/CommandConfirm-NeoForge-26/1.2.1/CommandConfirm-NeoForge-26-1.2.1.jar
17,continuity,continuity-3.0.1-0.0.8.jar,client,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/continuity-3.0.1-0.0.8.c4780ff4.jar
18,Craton（克拉通）,Craton-26.1.2-neoforge-0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-craton/craton-12.jar
19,Crock Pot,CrockPot-26.1.2-0.1.0-beta.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-crockpot/crockpot-98.jar
20,diagonal fences,diagonal-fences-26.1.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/diagonal-fences/26.1.0/diagonal-fences-26.1.0.jar
21,Distant Horizons,DistantHorizons-3.2.0-b-26.1.2-fabric-neoforge.jar,client,cdn.modrinth.com,https://cdn.modrinth.com/data/uCdwusMi/versions/c0SAW45X/DistantHorizons-3.2.0-b-26.1.2-fabric-neoforge.jar
22,enchanted vertical slabs,enchanted-vertical-slabs-EUlKZFNN.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/enchanted-vertical-slabs/EUlKZFNN/enchanted-vertical-slabs-EUlKZFNN.jar
